λ,final_spectrum,normalized_spectrum
390.0,0.013726344964199826,9.31795145508558e-06
390.5,0.02803663038154701,1.903230332188156e-05
391.0,0.09553769457256267,6.485452627627642e-05
391.5,1.2221590365694441,0.0008296468289883246
392.0,0.12153570647585053,8.25029398543549e-05
392.5,0.03179400409483049,2.158294779062423e-05
393.0,0.014974634505593032,1.016533663875461e-05
393.5,0.009161743109265062,6.219330619968374e-06
394.0,0.006517061436974159,4.424022728404122e-06
394.5,0.005119425617041047,3.475255758319114e-06
395.0,0.004319967838197877,2.9325542020723482e-06
395.5,0.003858544751480367,2.6193231173587387e-06
396.0,0.0036305768533590127,2.464570063027607e-06
396.5,0.0036263624046231,2.461709139101128e-06
397.0,0.0039715635961729044,2.696044495926854e-06
397.5,0.00526583529817324,3.5746440736282847e-06
398.0,0.011691218906389786,7.93643249566031e-06
398.5,0.12157518336858322,8.252973823156603e-05
399.0,0.01585618896994579,1.0763768466402607e-05
399.5,0.005630995051387894,3.8225280414783904e-06
400.0,0.0037728281062065234,2.561135483167875e-06
400.5,0.0031393787700286016,2.131126607596377e-06
401.0,0.002859793715946992,1.9413339156383556e-06
401.5,0.0027234744481950215,1.8487953467317334e-06
402.0,0.00265946901529919,1.8053460877964097e-06
402.5,0.002638845560138802,1.7913461224362331e-06
403.0,0.002648510349999336,1.7979069398263641e-06
403.5,0.0026824611522503223,1.820954002104122e-06
404.0,0.0027384286566911947,1.8589468174386108e-06
404.5,0.0028165054630911648,1.9119482459835364e-06
405.0,0.0029186414897456516,1.9812819645126855e-06
405.5,0.003048608669735014,2.0695085009325246e-06
406.0,0.0032123153823680234,2.1806386819941625e-06
406.5,0.0034184947593721014,2.320600881033634e-06
407.0,0.0036799140626867016,2.4980619884195316e-06
407.5,0.004015424524780644,2.7258189190968844e-06
408.0,0.004453484015178564,3.023189929122734e-06
408.5,0.005038426080426003,3.420270272231456e-06
409.0,0.0058421713571639704,3.9658823408798626e-06
409.5,0.00698749022706755,4.743367218186176e-06
410.0,0.008697893709264052,5.904452463914984e-06
410.5,0.011415595717819974,7.749329264779275e-06
411.0,0.01611855061377773,1.0941869269440743e-05
411.5,0.025337310069159708,1.7199904697327716e-05
412.0,0.04739850064811227,3.217585812063254e-05
412.5,0.12411941505588353,8.425685695214212e-05
413.0,0.816772906970671,0.0005544557066598176
413.5,0.9170589198078744,0.0006225335672759066
414.0,0.13048940719471733,8.858104359277636e-05
414.5,0.04888032273844204,3.3181773849748936e-05
415.0,0.025927855662564833,1.7600788922932957e-05
415.5,0.016445645970324343,1.116391371473441e-05
416.0,0.011646293954448987,7.905935774034983e-06
416.5,0.008891580324033836,6.0359341131545865e-06
417.0,0.007169663610534306,4.867033259508843e-06
417.5,0.006025437630991881,4.090290276665879e-06
418.0,0.005229829578060313,3.5502020569812688e-06
418.5,0.004657486212794431,3.1616741781397294e-06
419.0,0.004235282863279497,2.8750669039370722e-06
419.5,0.003918415937141066,2.6599658961173834e-06
420.0,0.0036784284767718534,2.497053517666901e-06
420.5,0.003496858607503087,2.3737971641390535e-06
421.0,0.0033617468062088728,2.2820782681946334e-06
421.5,0.0032657216897592047,2.2168928618916014e-06
422.0,0.0032050719893307743,2.175721598468488e-06
422.5,0.003179591275284387,2.1584243458390082e-06
423.0,0.0031932867817098397,2.167721362951576e-06
423.5,0.003256479215806033,2.210618728184109e-06
424.0,0.0033907848458184855,2.3017903651977994e-06
424.5,0.00364116587188116,2.471758281071355e-06
425.0,0.0041081670575504,2.788775985994455e-06
425.5,0.00504943762959318,3.4277453197297265e-06
426.0,0.00728999211542871,4.948716706208847e-06
426.5,0.014743513900163367,1.000844340991034e-05
427.0,0.07244496082996402,4.917832313990167e-05
427.5,0.14576828463310293,9.89529116050108e-05
428.0,0.01922109094767597,1.3047988581909448e-05
428.5,0.00824493763354785,5.596969099930063e-06
429.0,0.005334192173075461,3.6210472525970117e-06
429.5,0.004164270628502814,2.8268611683175723e-06
430.0,0.0035823994517031055,2.431865458048442e-06
430.5,0.0032535568689874223,2.208634930905099e-06
431.0,0.003051737824487387,2.0716326870981867e-06
431.5,0.00292098353324711,1.982871830402637e-06
432.0,0.0028333632430830955,1.9233919315396702e-06
432.5,0.0027736713836638074,1.8828708860768482e-06
433.0,0.002733056707079418,1.8553001390378963e-06
433.5,0.002706087022536395,1.8369921180762865e-06
434.0,0.002689284586348403,1.8255860019444814e-06
434.5,0.0026803466640401893,1.8195186091757235e-06
435.0,0.0026777080927968063,1.8177274492696632e-06
435.5,0.0026802846326042973,1.8194764999390812e-06
436.0,0.002687316653385678,1.8242500961471725e-06
436.5,0.002698270899549534,1.8316862442439953e-06
437.0,0.0027127771404634703,1.8415336179610607e-06
437.5,0.002730586488948182,1.8536232634610141e-06
438.0,0.0027515436045906366,1.8678497299168926e-06
438.5,0.00277556806977853,1.8841584268743886e-06
439.0,0.0028026420200874392,1.9025372273004145e-06
439.5,0.0028328021912744266,1.923011068787743e-06
440.0,0.0028661352163887924,1.9456387610595667e-06
440.5,0.002902775437355916,1.9705115003915387e-06
441.0,0.002942904782813401,1.997752786682423e-06
441.5,0.002986754465510844,2.027519575711938e-06
442.0,0.0030346084036833153,2.060004601695819e-06
442.5,0.003086808394480699,2.0954398892013076e-06
443.0,0.003143761179881292,2.1341015497510553e-06
443.5,0.0032059476591186726,2.1763160355597605e-06
444.0,0.0032739346278338357,2.222468108505513e-06
444.5,0.0033483895747679856,2.2730108846730085e-06
445.0,0.0034300992558444357,2.328478443128419e-06
445.5,0.0035199930110270746,2.389501654266695e-06
446.0,0.003619172116016098,2.4568281048299625e-06
446.5,0.00372894690337232,2.5313472971018614e-06
447.0,0.003850883996161876,2.614122712855343e-06
447.5,0.003986866845333916,2.7064329083672595e-06
448.0,0.004139173959784989,2.8098246198841053e-06
448.5,0.004310580932296972,2.9261820226082436e-06
449.0,0.004504494852477441,3.0578179751811637e-06
449.5,0.004725133362668221,3.2075955694673457e-06
450.0,0.004977766097955957,3.379092028977595e-06
450.5,0.005269044603834367,3.5768226692000046e-06
451.0,0.005607459784308112,3.806551430319058e-06
451.5,0.006003986456820025,4.075728424977811e-06
452.0,0.006473007834471094,4.394117511056327e-06
452.5,0.007033667962051639,4.774714375350722e-06
453.0,0.007711894379678897,5.23511959258007e-06
453.5,0.008543499237420718,5.7996437768739736e-06
454.0,0.009579069634121558,6.5026273249305815e-06
454.5,0.01089193176435408,7.3938467739997034e-06
455.0,0.012591612092888952,8.547652745783037e-06
455.5,0.014847599702151607,1.00791007081656e-05
456.0,0.0179335079514825,1.217392954549328e-05
456.5,0.02231439839239671,1.5147840267171456e-05
457.0,0.028833143413601332,1.957300587491971e-05
457.5,0.03914840902137102,2.6575390299192768e-05
458.0,0.05690243193588252,3.8627478752554685e-05
458.5,0.09142449566140842,6.20623344816503e-05
459.0,0.17291713233736627,0.0001173825551575823
459.5,0.4484105087217629,0.0003043976647182557
460.0,2.7335512959012904,0.0018556358842522602
460.5,4.215522652597895,0.002861652940908046
461.0,0.54129742575083,0.0003674527449997721
461.5,0.19399846594474984,0.00013169334536971763
462.0,0.09926678988995487,6.738597432231298e-05
462.5,0.0606763516169029,4.1189355237143664e-05
463.0,0.04128925187229387,2.8028673734068833e-05
463.5,0.03020335230049848,2.0503154426827296e-05
464.0,0.023280727102930124,1.5803819993594622e-05
464.5,0.01867307933784306,1.2675978000027352e-05
465.0,0.01545437296325216,1.0491000875757557e-05
465.5,0.013119164048015605,8.905774556121219e-06
466.0,0.01137261762813862,7.720154145377305e-06
466.5,0.010033364675660041,6.8110196285177465e-06
467.0,0.008984875193142498,6.099266126420345e-06
467.5,0.008149512246454075,5.532190812130826e-06
468.0,0.0074739367836185325,5.073585161218895e-06
468.5,0.006920523999704993,4.697908062284005e-06
469.0,0.00646211963414264,4.3867261973192475e-06
469.5,0.00607872961925684,4.1264668525054794e-06
470.0,0.005755369412146183,3.906957965017806e-06
470.5,0.0054806309658450725,3.720455329964104e-06
471.0,0.005245706193846202,3.5609796919270466e-06
471.5,0.005043708019993208,3.4238558484794866e-06
472.0,0.004869189733087559,3.3053863702860736e-06
472.5,0.004717799132538966,3.202616822358551e-06
473.0,0.004586025955053243,3.113164307934882e-06
473.5,0.004471014921895274,3.035090558035674e-06
474.0,0.004370425646520918,2.966806831574984e-06
474.5,0.004282326471675171,2.9070018480497414e-06
475.0,0.0042051131901460585,2.854586612176492e-06
475.5,0.0041374462346575255,2.8086517760638878e-06
476.0,0.004078201731285223,2.7684344124580953e-06
476.5,0.004026433071764887,2.733291928602163e-06
477.0,0.00398134055072381,2.702681454863958e-06
477.5,0.003942247250922723,2.676143474745019e-06
478.0,0.003908579820910572,2.6532887760405263e-06
478.5,0.003879853127759532,2.6337880325472907e-06
479.0,0.0038556580189322404,2.617363496365866e-06
479.5,0.003835651617045323,2.6037824096265024e-06
480.0,0.0038195497172081485,2.592851843521049e-06
480.5,0.0038071209716933523,2.5844147506418787e-06
481.0,0.0037981826406315827,2.5783470803960646e-06
481.5,0.0037925977678160373,2.5745558618368776e-06
482.0,0.0037902737139358204,2.572978207968252e-06
482.5,0.0037911620515265346,2.573581244433355e-06
483.0,0.0037952599027329245,2.5763630176374304e-06
483.5,0.0038026128896962207,2.58135449758002e-06
484.0,0.003813319977037981,2.588622865112389e-06
484.5,0.0038275406288833308,2.5982763703900314e-06
485.0,0.0038455048969540666,2.6104711810439845e-06
485.5,0.003867527327995606,2.6254208230574434e-06
486.0,0.003894025968774163,2.6434090820618856e-06
486.5,0.003925548318616298,2.66480762088233e-06
487.0,0.003962806934489832,2.6901001495852548e-06
487.5,0.0040067286976773675,2.719915869521671e-06
488.0,0.004058523780774919,2.75507629068068e-06
488.5,0.00411978358179369,2.7966617129857345e-06
489.0,0.004192622147649308,2.8461072297981753e-06
489.5,0.0042798843882724015,2.9053440713687954e-06
490.0,0.00438545947047873,2.9770123482065824e-06
490.5,0.004514764549290784,3.064789425819681e-06
491.0,0.004675513218754182,3.1739115775968755e-06
491.5,0.004878977344351694,3.3120305633948967e-06
492.0,0.00514214015555761,3.490675228525788e-06
492.5,0.0054915394029672,3.7278603811864024e-06
493.0,0.005970504906850472,4.052999908532173e-06
493.5,0.006653702324607584,4.516779624800706e-06
494.0,0.007678802240047913,5.212655422297985e-06
494.5,0.009322860237826972,6.328702895431231e-06
495.0,0.012213175832372804,8.290756192947556e-06
495.5,0.01803007325007402,1.2239481647445288e-05
496.0,0.03262316886580176,2.21458155536251e-05
496.5,0.08883389762356207,6.030374056467895e-05
497.0,0.7785283227287798,0.0005284938661031865
497.5,0.31394186836391386,0.0002131153702433812
498.0,0.0607569795517853,4.124408846620919e-05
498.5,0.0263883968087474,1.79134213137399e-05
499.0,0.015810917146941543,1.0733036275849548e-05
499.5,0.011249035458701458,7.636261990653452e-06
500.0,0.00888339371467763,6.030376739450091e-06
500.5,0.007505746439902993,5.095178734295677e-06
501.0,0.006637250708430626,4.505611658288541e-06
501.5,0.006057564070121087,4.112098893672917e-06
502.0,0.005653855555646342,3.838046598637967e-06
502.5,0.005363501272197511,3.6409433548386377e-06
503.0,0.00514948358557624,3.4956602208603004e-06
503.5,0.004988783656840796,3.386571156094845e-06
504.0,0.00486647843471622,3.3035458405113755e-06
504.5,0.004772549759986069,3.239783576510378e-06
505.0,0.004700069770500344,3.190581474621307e-06
505.5,0.004644123787310861,3.152603268709517e-06
506.0,0.004601147042116708,3.123429061995265e-06
506.5,0.004568503033141005,3.101269099403016e-06
507.0,0.0045442079109758605,3.0847766704628556e-06
507.5,0.004526745831529422,3.0729227640506875e-06
508.0,0.0045149425145204316,3.0649102352103e-06
508.5,0.004507876945462076,3.0601138651889997e-06
509.0,0.004504818615686581,3.0580377576413588e-06
509.5,0.00450518219482039,3.0582845686262017e-06
510.0,0.004508494313514732,3.060532957493584e-06
510.5,0.004514368894816944,3.0645208409057915e-06
511.0,0.004522488609063538,3.0700328037317483e-06
511.5,0.004532590774571539,3.0768905279139907e-06
512.0,0.004544456526369179,3.084945439801814e-06
512.5,0.004557902414948727,3.0940730070734727e-06
513.0,0.004572773831264601,3.1041682753813208e-06
513.5,0.004588939817888057,3.1151423459714013e-06
514.0,0.004606288942055282,3.1269195741556035e-06
514.5,0.0046247259892646005,3.139435324802962e-06
515.0,0.004644169296089833,3.1526341617545596e-06
515.5,0.0046645485847543345,3.1664683778521635e-06
516.0,0.004685803194400065,3.1808967942581514e-06
516.5,0.004707880628111897,3.1958837741217826e-06
517.0,0.004730735352880927,3.211398407949841e-06
517.5,0.004754327803414374,3.227413837355886e-06
518.0,0.004778623551170893,3.243906690970646e-06
518.5,0.004803592608047066,3.2608566117586093e-06
519.0,0.00482920884036684,3.278245859212348e-06
519.5,0.0048554494736741255,3.296058973187387e-06
520.0,0.0048822946726275315,3.3142824887191875e-06
520.5,0.004909727183290123,3.3329046931961854e-06
521.0,0.004937732027479744,3.3519154188734666e-06
521.5,0.004966296240735836,3.3713058649949324e-06
522.0,0.004995408646972508,3.391068444819463e-06
522.5,0.005025059664105725,3.411196653673446e-06
523.0,0.005055241135927318,3.4316849548206283e-06
523.5,0.0050859461862981644,3.4525286804830466e-06
524.0,0.005117169092385138,3.473723945789573e-06
524.5,0.005148905174200455,3.4952675737911286e-06
525.0,0.005181150698141119,3.5171570299796887e-06
525.5,0.005213902792588546,3.539390364994178e-06
526.0,0.005247159373928557,3.561966164400104e-06
526.5,0.0052809190816013995,3.5848835045991065e-06
527.0,0.005315181220999562,3.6081419140658734e-06
527.5,0.005349945713205241,3.631741339228076e-06
528.0,0.005385213050705475,3.655682114404162e-06
528.5,0.005420984258346103,3.6799649352974507e-06
529.0,0.005457260858889573,3.704590835615503e-06
529.5,0.005494044842629782,3.7295611664435465e-06
530.0,0.005531338640591833,3.7548775780514797e-06
530.5,0.0055691451009083955,3.780542003857267e-06
531.0,0.005607467468018704,3.8065566463064516e-06
531.5,0.005646309364382885,3.832923964459162e-06
532.0,0.005685674774444291,3.859646663103148e-06
532.5,0.0057255680306069565,3.886727683234765e-06
533.0,0.005765993801025055,3.9141701937699965e-06
533.5,0.005806957079026898,3.9419775843650785e-06
534.0,0.005848463174018368,3.970153459241413e-06
534.5,0.005890517703730053,3.99870163192263e-06
535.0,0.005933126587689267,4.027626120803161e-06
535.5,0.005976296041812931,4.056931145477681e-06
536.0,0.0060200325740302025,4.086621123769588e-06
536.5,0.006064342980855206,4.116700669404448e-06
537.0,0.0061092343448401875,4.147174590281098e-06
537.5,0.006154714032848289,4.178047887299146e-06
538.0,0.006200789695093092,4.209325753706974e-06
538.5,0.006247469264898978,4.2410135749390606e-06
539.0,0.0062947609591426975,4.27311692891574e-06
539.5,0.00634267327934211,4.305641586782276e-06
540.0,0.006391215013363162,4.338593514067618e-06
540.5,0.006440395237720676,4.37197887224627e-06
541.0,0.00649022332045281,4.40580402068957e-06
541.5,0.006540708924552718,4.44007551899524e-06
542.0,0.006591862011944604,4.474800129686468e-06
542.5,0.006643692847994489,4.509984821273992e-06
543.0,0.0066962120065491414,4.545636771676706e-06
543.5,0.006749430375499431,4.581763371998275e-06
544.0,0.00680335916286709,4.6183722306590534e-06
544.5,0.006858009903416447,4.655471177884373e-06
545.0,0.00691339446579523,4.693068270551988e-06
545.5,0.006969525060210896,4.731171797403046e-06
546.0,0.007026414246651402,4.7697902846226585e-06
546.5,0.007084074943661635,4.8089325017976635e-06
547.0,0.007142520437689096,4.848607468260823e-06
547.5,0.00720176439301481,4.888824459832289e-06
548.0,0.007261820862287809,4.9295930159708064e-06
548.5,0.007322704297684024,4.970922947348781e-06
549.0,0.007384429562712926,5.012824343867058e-06
549.5,0.007447011944697905,5.055307583127077e-06
550.0,0.007510467167959061,5.098383339379829e-06
550.5,0.00757481140773,5.1420625929730995e-06
551.0,0.007640061304843197,5.186356640320433e-06
551.5,0.007706233981221694,5.231277104417473e-06
552.0,0.0077733470562182825,5.276835945933604e-06
552.5,0.007841418663846918,5.3230454749092764e-06
553.0,0.007910467470954995,5.369918363092015e-06
553.5,0.007980512696389212,5.417467656946922e-06
554.0,0.008051574131212214,5.465706791380482e-06
554.5,0.008123672160032005,5.514649604219758e-06
555.0,0.008196827783511274,5.564310351492554e-06
555.5,0.008271062642129349,5.614703723557912e-06
556.0,0.008346399041275654,5.665844862140476e-06
556.5,0.00842285997775998,5.71774937832665e-06
557.0,0.008500469167832193,5.770433371585416e-06
557.5,0.008579251076811692,5.823913449881899e-06
558.0,0.008659230950435491,5.878206750957615e-06
558.5,0.008740434848043056,5.933330964857563e-06
559.0,0.008822889677726237,5.989304357791304e-06
559.5,0.00890662323358366,6.046145797422618e-06
560.0,0.008991664235231261,6.103874779690725e-06
560.5,0.009078042369733893,6.162511457275003e-06
561.0,0.00916578833613773,6.2220766698252465e-06
561.5,0.009254933892799336,6.2825919760903804e-06
562.0,0.009345511907725059,6.344079688090711e-06
562.5,0.009437556412154045,6.40656290749206e-06
563.0,0.009531102657639904,6.4700655643549146e-06
563.5,0.009626187176909934,6.534612458447922e-06
564.0,0.009722847848807399,6.6002293033331135e-06
564.5,0.009821123967651635,6.666942773450116e-06
565.0,0.009921056317383464,6.734780554448803e-06
565.5,0.010022687250899408,6.803771397044299e-06
566.0,0.01012606077501852,6.873945174695615e-06
566.5,0.01023122264157044,6.945332945439587e-06
567.0,0.010338220445143036,7.0179670182456065e-06
567.5,0.01044710372808388,7.091881024294505e-06
568.0,0.01055792409341192,7.167109993627182e-06
568.5,0.010670735326365352,7.243690437655801e-06
569.0,0.010785593525389867,7.3216604380834696e-06
569.5,0.010902557243458845,7.4010597428376165e-06
570.0,0.011021687640715615,7.481929869689216e-06
570.5,0.011143048649538564,7.564314218305095e-06
571.0,0.011266707153254686,7.648258191565315e-06
571.5,0.01139273317986806,7.733809327073236e-06
572.0,0.011521200112328883,7.82101743989393e-06
572.5,0.011652184917049084,7.90993477767904e-06
573.0,0.011785768392574872,8.00061618947492e-06
573.5,0.011922035440558903,8.09311930966858e-06
574.0,0.012061075361438908,8.187504758705293e-06
574.5,0.012202982177530913,8.28383636241624e-06
575.0,0.012347854986589017,8.382181392027989e-06
575.5,0.012495798349277203,8.482610827192705e-06
576.0,0.012646922714449511,8.585199644684097e-06
576.5,0.01280134488665272,8.690027135755551e-06
577.0,0.012959188540861463,8.797177255561399e-06
577.5,0.013120584790142498,8.906739008508443e-06
578.0,0.013285672812738477,9.018806873943667e-06
578.5,0.013454600545980355,9.13348127720767e-06
579.0,0.01362752545550364,9.25086911180716e-06
579.5,0.01380461538948387,9.37108431930164e-06
580.0,0.013986049529051948,9.494248534480545e-06
580.5,0.014172019447739447,9.620491804553958e-06
581.0,0.014362730294782777,9.749953392423325e-06
581.5,0.014558402119439328,9.882782675676302e-06
582.0,0.014759271356206114,1.0019140154808192e-05
582.5,0.01496559249406341,1.0159198586366368e-05
583.0,0.015177639956693858,1.0303144259312652e-05
583.5,0.0153957102251736,1.0451178435984693e-05
584.0,0.01562012424004809,1.0603518982714005e-05
584.5,0.01585123012617754,1.0760402219552014e-05
585.0,0.016089406291497296,1.0922085023823375e-05
585.5,0.016335064960173756,1.1088847228563116e-05
586.0,0.016588656211906812,1.1260994364544755e-05
586.5,0.016850672612784626,1.1438860803876082e-05
587.0,0.01712165453970428,1.1622813374413136e-05
587.5,0.01740219632064926,1.1813255528008024e-05
588.0,0.017692953337975107,1.2010632162482375e-05
588.5,0.017994650272463192,1.2215435217996432e-05
589.0,0.01830809070375639,1.2428210194180441e-05
589.5,0.018634168329822166,1.264956376632182e-05
590.0,0.018973880126806238,1.288017271876133e-05
590.5,0.019328341844319724,1.312079446366802e-05
591.0,0.01969880632414782,1.337227947645729e-05
591.5,0.020086685248268336,1.3635586059151533e-05
592.0,0.02049357507249766,1.391179794509973e-05
592.5,0.02092128809519191,1.4202145389562725e-05
593.0,0.021371889859931346,1.4508030560041006e-05
593.5,0.021847744415663395,1.483105826053644e-05
594.0,0.022351569382972468,1.5173073312576166e-05
594.5,0.022886503336411842,1.5536206296835654e-05
595.0,0.023456188759654818,1.59229298661684e-05
595.5,0.02406487483237822,1.6336128521150185e-05
596.0,0.024717545664693877,1.6779185660361616e-05
596.5,0.025420081449775304,1.725609297676103e-05
597.0,0.026179462566703126,1.777158901025698e-05
597.5,0.027004030241198664,1.8331336093870373e-05
598.0,0.02790382242176104,1.8942148358898902e-05
598.5,0.02889101074995514,1.9612288366536102e-05
599.0,0.029980474969165578,2.035185703781256e-05
599.5,0.031190566504414905,2.117331199986338e-05
600.0,0.03254413592890107,2.2092165068276367e-05
600.5,0.03406993394667554,2.3127933286033465e-05
601.0,0.03580454954864845,2.4305454615606128e-05
601.5,0.03779513431360426,2.565673729540671e-05
602.0,0.04010329957275105,2.722360537945523e-05
602.5,0.04281080108465482,2.9061557705313946e-05
603.0,0.046028013434085926,3.124552062995901e-05
603.5,0.04990687574262893,3.387863605771715e-05
604.0,0.054661222626670225,3.710606284770944e-05
604.5,0.06059973816070215,4.113734718492388e-05
605.0,0.06818135139885717,4.628402711236376e-05
605.5,0.07811239702430113,5.3025588779178625e-05
606.0,0.09152580768944453,6.213110883939222e-05
606.5,0.11033216241458721,7.489755910951438e-05
607.0,0.13796026736578232,9.36525402354206e-05
607.5,0.18107208399881858,0.0001229184384461174
608.0,0.25404599099146846,0.00017245582983609696
608.5,0.39280571936043246,0.00026665107381656475
609.0,0.7091540569348338,0.00048140004450784114
609.5,1.7086013433620426,0.0011598618871276206
610.0,8.540238882995164,0.0057974305275098545
610.5,29.356317519749027,0.01992815583919326
611.0,2.9301804859172873,0.0019891150625768934
611.5,0.9825100780395521,0.0006669642381261966
612.0,0.49557465363745806,0.00033641443348599937
612.5,0.30521401836075335,0.00020719058233743633
613.0,0.2119872002518495,0.00014390476461126797
613.5,0.15968576558548364,0.0001084006132495193
614.0,0.12756621902281837,8.659667517198586e-05
614.5,0.10653787241723386,7.232185449957882e-05
615.0,0.09210882682301137,6.252688382524101e-05
615.5,0.08185322435207373,5.556500094847453e-05
616.0,0.07436793167231232,5.0483706984273896e-05
616.5,0.06879581027199855,4.6701144558123046e-05
617.0,0.06458942548144236,4.384569473648164e-05
617.5,0.06138598372788963,4.167107980245148e-05
618.0,0.058937455554319784,4.000892817233884e-05
618.5,0.05706971500566727,3.8741036697337315e-05
619.0,0.05565770112720694,3.778250936848788e-05
619.5,0.05460980493730357,3.7071158615395535e-05
620.0,0.05385776462626532,3.6560645792878086e-05
620.5,0.0533499555832843,3.6215926202681883e-05
621.0,0.05304683216257937,3.601015479547955e-05
621.5,0.05291776769667851,3.59225410548241e-05
622.0,0.052938823632228606,3.5936834603894075e-05
622.5,0.05309114860955648,3.604023844139342e-05
