λ,final_spectrum,normalized_spectrum
390.0,3.4859084526309355e-12,6.74918851993466e-06
390.5,3.838149444333707e-12,7.4311745473234414e-06
391.0,4.275009275608776e-12,8.276994051228367e-06
391.5,4.827926207489169e-12,9.347515741580899e-06
392.0,5.54467427009932e-12,1.0735236578656477e-05
392.5,6.5007641329625765e-12,1.2586355394353552e-05
393.0,7.82134160794073e-12,1.5143171344892939e-05
393.5,9.72627614267362e-12,1.883138131017268e-05
394.0,1.2631402251818249e-11,2.4456096947785914e-05
394.5,1.7402666189848064e-11,3.369390689997355e-05
395.0,2.609711903961176e-11,5.0527539268158705e-05
395.5,4.46377685796242e-11,8.642473528692982e-05
396.0,9.633022215939342e-11,0.00018650829141259926
396.5,3.5121006267015435e-10,0.0006799900098552297
397.0,4.335382143951837e-09,0.008393884060095062
397.5,3.7116060524773413e-10,0.0007186169487897402
398.0,9.953881052778578e-11,0.00019272055087822163
398.5,4.6102810808872386e-11,8.926125446958323e-05
399.0,2.7292029069046703e-11,5.284104610937549e-05
399.5,1.8654017020802258e-11,3.611669073880689e-05
400.0,1.4054980169542355e-11,2.721233563566211e-05
400.5,1.1383736776928252e-11,2.2040448454925758e-05
401.0,9.760120455846746e-12,1.889690846128324e-05
401.5,8.768093051934222e-12,1.697620972322724e-05
402.0,8.194634988982025e-12,1.5865917635028586e-05
402.5,7.926867731860438e-12,1.5347484141339033e-05
403.0,7.907438961299809e-12,1.530986742334253e-05
403.5,8.114505109888661e-12,1.571077539092504e-05
404.0,8.553820502508227e-12,1.656134919250057e-05
404.5,9.258422678110269e-12,1.7925553955567468e-05
405.0,1.0295306009330207e-11,1.9933099813606135e-05
405.5,1.1781694739222169e-11,2.2810948698127374e-05
406.0,1.3918475973102689e-11,2.694804511626015e-05
406.5,1.705925432015007e-11,3.302901524258487e-05
407.0,2.1862022255840727e-11,4.2327821179673986e-05
407.5,2.965585060491509e-11,5.741772314775734e-05
408.0,4.34535482172828e-11,8.413192508172915e-05
408.5,7.132529353538369e-11,0.00013809537997094024
409.0,1.413428553140778e-10,0.00027365881503301696
409.5,4.1079854600294083e-10,0.0007953613436395194
410.0,3.69994981691633e-09,0.0071636014450749755
410.5,1.5072153166144812e-09,0.002918171962974707
411.0,2.7783766285674725e-10,0.0005379311562651546
411.5,1.1150237127359756e-10,0.00021588361667308875
412.0,6.033840233990138e-11,0.0001168232780399917
412.5,3.8259052106305066e-11,7.407468060860015e-05
413.0,2.6793288851265634e-11,5.18754178382896e-05
413.5,2.0102391389619308e-11,3.8920938697530486e-05
414.0,1.587365323599905e-11,3.073353177389685e-05
414.5,1.304339444649914e-11,2.5253769356120197e-05
415.0,1.1067270887287182e-11,2.1427727846125953e-05
415.5,9.643447827036689e-12,1.8671014529283644e-05
416.0,8.593798154616999e-12,1.6638751314309827e-05
416.5,7.807867437164501e-12,1.511708353451171e-05
417.0,7.214390794965341e-12,1.3968032779218104e-05
417.5,6.7659086914043485e-12,1.309971098996816e-05
418.0,6.430031589533594e-12,1.2449407658466693e-05
418.5,6.184270112916783e-12,1.1973580321299389e-05
419.0,6.01286972260591e-12,1.1641726068005568e-05
419.5,5.9048205322524734e-12,1.143252827493924e-05
420.0,5.85258339262868e-12,1.1331390133231288e-05
420.5,5.851269922479542e-12,1.1328847078021348e-05
421.0,5.898123016007339e-12,1.1419560980941711e-05
421.5,5.992207350022511e-12,1.1601720930254679e-05
422.0,6.134257818033905e-12,1.1876749778826493e-05
422.5,6.326659019281064e-12,1.2249264432129826e-05
423.0,6.573547457208856e-12,1.2727273718262754e-05
423.5,6.881044159818597e-12,1.332262877229611e-05
424.0,7.257642329487916e-12,1.4051773578563826e-05
424.5,7.71479576625591e-12,1.4936884237437998e-05
425.0,8.267783682484608e-12,1.600754336305459e-05
425.5,8.936973117662667e-12,1.7303184288494435e-05
426.0,9.74967331696321e-12,1.887668139256441e-05
426.5,1.0742898383936152e-11,2.079969896770061e-05
427.0,1.196756490946286e-11,2.3170818395290528e-05
427.5,1.349502716599944e-11,2.612819116240078e-05
428.0,1.542754994414375e-11,2.986981568467412e-05
428.5,1.7915669523644324e-11,3.4687150485740346e-05
429.0,2.1188138064711966e-11,4.1023090574055516e-05
429.5,2.5606049905744295e-11,4.9576763249272975e-05
430.0,3.176631962256055e-11,6.150387556946541e-05
430.5,4.071348418619355e-11,7.882679187074193e-05
431.0,5.4411695269473716e-11,0.0001053483744777492
431.5,7.691781049706608e-11,0.0001489232464477088
432.0,1.177550347390294e-10,0.0002279896157414399
432.5,2.0384647172883154e-10,0.00039467423930282866
433.0,4.3780957780506565e-10,0.0008476583411733762
433.5,1.5170213404547355e-09,0.0029371577465740727
434.0,1.9725823630161908e-08,0.038191852769531076
434.5,2.1456014036660634e-09,0.0041541734554300545
435.0,5.262653544463082e-10,0.0010189206449147147
435.5,2.3066302407711543e-10,0.0004465946984062986
436.0,1.2917400038812688e-10,0.0002500982720402737
436.5,8.280274136960023e-11,0.00016031726566113354
437.0,5.784105753815698e-11,0.00011198808196548472
437.5,4.2891987261639784e-11,8.304466739651689e-05
438.0,3.324206154865943e-11,6.43611108070964e-05
438.5,2.6656648061579563e-11,5.161086285595551e-05
439.0,2.1965851609652505e-11,4.2528848800537e-05
439.5,1.850915982974222e-11,3.583622769618323e-05
440.0,1.5890790139723472e-11,3.0766711128850016e-05
440.5,1.3861890196085759e-11,2.683848742654343e-05
441.0,1.2259641809004378e-11,2.373631863263495e-05
441.5,1.097389544445689e-11,2.1246940405675996e-05
442.0,9.92797929618707e-12,1.9221905796580277e-05
442.5,9.06719706636656e-12,1.7555315401963445e-05
443.0,8.351685652649226e-12,1.6169988883793252e-05
443.5,7.751841599146691e-12,1.5008609962153797e-05
444.0,7.245312349719025e-12,1.4027901076162215e-05
444.5,6.81496911391171e-12,1.3194698579249204e-05
445.0,6.4475117430670035e-12,1.2483251591305876e-05
445.5,6.132490095893009e-12,1.1873327230546213e-05
446.0,5.86160566272878e-12,1.134885846397227e-05
446.5,5.628205374358817e-12,1.089696405302551e-05
447.0,5.426909481471205e-12,1.0507228078071349e-05
447.5,5.253334441541561e-12,1.017116341006316e-05
448.0,5.10388410681151e-12,9.881807422329411e-06
448.5,4.975590669228879e-12,9.633414038543861e-06
449.0,4.8659923005216425e-12,9.421216827419694e-06
449.5,4.77303816507248e-12,9.241245094834334e-06
450.0,4.695014070630316e-12,9.0901799335878e-06
450.5,4.630483835987864e-12,8.965240703325222e-06
451.0,4.578242742490206e-12,8.86409490638465e-06
451.5,4.537280360976145e-12,8.784786215746137e-06
452.0,4.5067507170818224e-12,8.725676711039053e-06
452.5,4.485948250240769e-12,8.685400331926457e-06
453.0,4.474288386444821e-12,8.662825264352259e-06
453.5,4.471291817557218e-12,8.657023503172863e-06
454.0,4.47657178579304e-12,8.667246233197782e-06
454.5,4.48982382875129e-12,8.692903974189804e-06
455.0,4.510817560916965e-12,8.733550668745485e-06
455.5,4.53939016114934e-12,8.788871073194857e-06
456.0,4.575441309147674e-12,8.858670953916676e-06
456.5,4.618929372280051e-12,8.942869704525204e-06
457.0,4.669868691250291e-12,9.041495090555568e-06
457.5,4.728327851723578e-12,9.154679903098061e-06
458.0,4.794428861437307e-12,9.282660365573857e-06
458.5,4.868347180220137e-12,9.425776191855932e-06
459.0,4.9503125751223565e-12,9.584472241916699e-06
459.5,5.040610795684463e-12,9.759301765373729e-06
460.0,5.139586086244652e-12,9.950931265655602e-06
460.5,5.247644574028132e-12,1.0160147059799401e-05
461.0,5.365258594459376e-12,1.0387863652838098e-05
461.5,5.492972039600079e-12,1.0635134093097188e-05
462.0,5.6314068428216155e-12,1.0903162527394435e-05
462.5,5.781270743880448e-12,1.1193319235272267e-05
463.0,5.943366514780993e-12,1.1507158491511548e-05
463.5,6.11860286975687e-12,1.1846439689325495e-05
464.0,6.308007334320751e-12,1.221315225657439e-05
464.5,6.512741411062063e-12,1.2609545018793662e-05
465.0,6.7341184568064515e-12,1.3038160811783697e-05
465.5,6.9736247808635876e-12,1.3501877330660769e-05
466.0,7.2329445925246225e-12,1.4003955431573987e-05
466.5,7.5139895744385e-12,1.454809638974711e-05
467.0,7.818934045821829e-12,1.5138509980191392e-05
467.5,8.15025691732557e-12,1.577999570798127e-05
468.0,8.510791943382986e-12,1.6478040103571906e-05
468.5,8.903788168951366e-12,1.72389337558369e-05
469.0,9.332982974117903e-12,1.8069912736268625e-05
469.5,9.80269078082571e-12,1.8979330347153785e-05
470.0,1.0317911354362997e-11,1.9976866807851015e-05
470.5,1.0884462782404448e-11,2.1073786720135004e-05
471.0,1.150914575030457e-11,2.2283257127301943e-05
471.5,1.2199947800339615e-11,2.362074298758752e-05
472.0,1.2966299075560517e-11,2.5104502328729864e-05
472.5,1.381939491111214e-11,2.6756210828235504e-05
473.0,1.4772605994449246e-11,2.860175593883007e-05
473.5,1.5842004334213254e-11,3.0672255235082405e-05
474.0,1.7047043953223167e-11,3.300537432676419e-05
474.5,1.8411450576272623e-11,3.564704941431795e-05
475.0,1.9964396977475604e-11,3.865376291970634e-05
475.5,2.1742073803592716e-11,4.20955848120536e-05
476.0,2.378981556880373e-11,4.606028882002088e-05
476.5,2.6165017897182285e-11,5.065900060636046e-05
477.0,2.8941201324111725e-11,5.60340658350883e-05
477.5,3.221376706627325e-11,6.237019411781991e-05
478.0,3.6108300363872983e-11,6.991053540326739e-05
478.5,4.079279632957364e-11,7.898035086830779e-05
479.0,4.649607792573519e-11,9.002267260389912e-05
479.5,5.3536267193853363e-11,0.00010365342775201231
480.0,6.236610606409603e-11,0.00012074918570025584
480.5,7.364756371231946e-11,0.00014259160797903158
481.0,8.837953160532735e-11,0.0001711146830771434
481.5,1.0812659502362103e-10,0.00020934765893873864
482.0,1.35451791237111e-10,0.00026225292110930947
