λ,final_spectrum,normalized_spectrum
390.0,3.579751097960061e-19,4.8070256459507e-06
390.5,3.594852496385404e-19,4.827304376938928e-06
391.0,3.6100514516508254e-19,4.847714110954841e-06
391.5,3.6253488335242697e-19,4.8682560159558486e-06
392.0,3.640745522184554e-19,4.888931273879474e-06
392.5,3.656242408396444e-19,4.909741080878453e-06
393.0,3.6718403936902813e-19,4.930686647561949e-06
393.5,3.6875403905464084e-19,4.951769199243197e-06
394.0,3.703343322584527e-19,4.972989976193791e-06
394.5,3.7192501247582765e-19,4.9943502339049626e-06
395.0,3.735261743555179e-19,5.015851243356083e-06
395.5,3.7513791372022866e-19,5.037494291290806e-06
396.0,3.7676032758776933e-19,5.0592806805011015e-06
396.5,3.783935141928276e-19,5.0812117301196414e-06
397.0,3.800375730093877e-19,5.10328877592084e-06
397.5,3.8169260477383004e-19,5.125513170631051e-06
398.0,3.8335871150874174e-19,5.147886284248296e-06
398.5,3.850359965474759e-19,5.17040950437206e-06
399.0,3.8672456455949504e-19,5.1930842365436176e-06
399.5,3.884245215765428e-19,5.2159119045974635e-06
400.0,3.9013597501968295e-19,5.238893951024416e-06
400.5,3.91859033727258e-19,5.262031837347049e-06
401.0,3.935938079838092e-19,5.285327044508041e-06
401.5,3.953404095500228e-19,5.308781073272306e-06
402.0,3.9709895169374834e-19,5.332395444643519e-06
402.5,3.988695492221606e-19,5.356171700296e-06
403.0,4.0065231851512655e-19,5.380111403022774e-06
403.5,4.024473775598516e-19,5.404216137200819e-06
404.0,4.0425484598688306e-19,5.428487509274529e-06
404.5,4.060748451075542e-19,5.4529271482585345e-06
405.0,4.079074979529596e-19,5.477536706261069e-06
405.5,4.0975292931456377e-19,5.502317859029282e-06
406.0,4.116112657865423e-19,5.5272723065178155e-06
406.5,4.1348263580998147e-19,5.552401773482325e-06
407.0,4.1536716971905363e-19,5.577708010099547e-06
407.5,4.1726499978931085e-19,5.6031927926158e-06
408.0,4.191762602882422e-19,5.6288579240258886e-06
408.5,4.2110108752826046e-19,5.654705234784631e-06
409.0,4.2303961992229446e-19,5.68073658355337e-06
409.5,4.249919980421801e-19,5.706953857984074e-06
410.0,4.269583646800638e-19,5.733358975543882e-06
410.5,4.2893886491305013e-19,5.7599538843832205e-06
411.0,4.309336461713508e-19,5.786740564250928e-06
411.5,4.32942858310209e-19,5.81372102746009e-06
412.0,4.349666536859176e-19,5.8408973199088346e-06
412.5,4.370051872362604e-19,5.86827152216053e-06
413.0,4.390586165657563e-19,5.895845750588476e-06
413.5,4.411271020361204e-19,5.923622158590649e-06
414.0,4.43210806862395e-19,5.951602937880587e-06
414.5,4.453098972152624e-19,5.979790319861282e-06
415.0,4.474245423300961e-19,6.008186577089564e-06
415.5,4.495549146233781e-19,6.036794024839396e-06
416.0,4.517011898171766e-19,6.065615022773404e-06
